CP,LIBELLE,INSEE
"00303","ARMEES","75115"
"01000","BOURG EN BRESSE","01053"
"01000","ST DENIS LES BOURG","01344"
"01001","BOURG EN BRESSE CEDEX","01053"
"01002","BOURG EN BRESSE CEDEX","01053"
"01003","BOURG EN BRESSE CEDEX","01053"
"01003","BOURG EN BRESSE CEDEX","01254"
"01004","BOURG EN BRESSE CEDEX","01053"
"01004","BOURG EN BRESSE CEDEX","01451"
"01005","BOURG EN BRESSE CEDEX","01053"
"01005","BOURG EN BRESSE CEDEX","01289"
"01006","BOURG EN BRESSE CEDEX","01053"
"01006","BOURG EN BRESSE CEDEX","01344"
"01007","BOURG EN BRESSE CEDEX","01053"
"01008","BOURG EN BRESSE CEDEX","01053"
"01008","BOURG EN BRESSE CEDEX","01451"
"01009","BOURG EN BRESSE CEDEX","01053"
"01009","BOURG EN BRESSE CEDEX","01241"
"01010","BOURG EN BRESSE CEDEX","01053"
"01011","BOURG EN BRESSE CEDEX","01053"
"01012","BOURG EN BRESSE CEDEX","01053"
"01012","BOURG EN BRESSE CEDEX","01344"
"01012","BOURG EN BRESSE CEDEX","01451"
"01013","BOURG EN BRESSE CEDEX","01053"
"01017","BOURG EN BRESSE CEDEX","01053"
"01018","BOURG EN BRESSE CEDEX","01053"
"01060","BOURG EN BRESSE CEDEX 9","01053"
"01100","BELLIGNAT","01031"
"01101","OYONNAX CEDEX","01014"
"01101","OYONNAX CEDEX","01237"
"01101","OYONNAX CEDEX","01283"
"01102","OYONNAX CEDEX","01014"
"01102","OYONNAX CEDEX","01148"
"01102","OYONNAX CEDEX","01283"
"01103","OYONNAX CEDEX","01031"
"01103","OYONNAX CEDEX","01283"
"01104","OYONNAX CEDEX","01283"
"01105","OYONNAX CEDEX","01283"
"01106","OYONNAX CEDEX","01283"
"01108","OYONNAX CEDEX","01283"
"01111","OYONNAX CEDEX","01283"
"01112","OYONNAX CEDEX","01014"
"01112","OYONNAX CEDEX","01283"
"01115","OYONNAX CEDEX","01031"
"01115","OYONNAX CEDEX","01181"
"01116","OYONNAX CEDEX","01031"
"01117","OYONNAX CEDEX","01014"
"01117","OYONNAX CEDEX","01031"
"01117","OYONNAX CEDEX","01181"
"01117","OYONNAX CEDEX","01237"
"01117","OYONNAX CEDEX","01283"
"01121","MONTLUEL CEDEX","01142"
"01122","MONTLUEL CEDEX","01262"
"01123","MONTLUEL CEDEX","01142"
"01123","MONTLUEL CEDEX","01262"
"01124","MONTLUEL CEDEX","01142"
"01124","MONTLUEL CEDEX","01262"
"01127","MONTLUEL CEDEX","01142"
"01128","MONTLUEL CEDEX","01418"
"01151","LAGNIEU CEDEX","01202"
"01152","LAGNIEU CEDEX","01202"
"01152","LAGNIEU CEDEX","01386"
"01152","LAGNIEU CEDEX","01390"
"01153","LAGNIEU CEDEX","01390"
"01153","LAGNIEU CEDEX","01396"
"01154","LAGNIEU CEDEX","01047"
"01154","LAGNIEU CEDEX","01202"
"01154","LAGNIEU CEDEX","01390"
"01155","LAGNIEU CEDEX","01047"
"01155","LAGNIEU CEDEX","01390"
"01155","LAGNIEU CEDEX","01396"
"01170","CROZET","01135"
"01171","GEX CEDEX","01071"
"01171","GEX CEDEX","01173"
"01172","GEX CEDEX","01173"
"01173","GEX CEDEX","01173"
"01174","GEX CEDEX","01071"
"01174","GEX CEDEX","01153"
"01174","GEX CEDEX","01173"
"01201","BELLEGARDE SUR VALSERINE CEDEX","01033"
"01202","BELLEGARDE SUR VALSERINE CEDEX","01033"
"01203","BELLEGARDE SUR VALSERINE CEDEX","01033"
"01204","BELLEGARDE SUR VALSERINE CEDEX","01033"
"01206","BELLEGARDE SUR VALSERINE CEDEX","01033"
"01206","BELLEGARDE SUR VALSERINE CEDEX","01209"
"01208","BELLEGARDE SUR VALSERINE CEDEX","01091"
"01210","FERNEY VOLTAIRE","01160"
"01211","FERNEY VOLTAIRE CEDEX","01160"
"01212","FERNEY VOLTAIRE CEDEX","01160"
"01213","FERNEY VOLTAIRE CEDEX","01313"
"01214","FERNEY VOLTAIRE CEDEX","01160"
"01216","FERNEY VOLTAIRE CEDEX","01160"
"01280","PREVESSIN MOENS","01313"
"01301","BELLEY CEDEX","01034"
"01301","BELLEY CEDEX","01098"
"01302","BELLEY CEDEX","01034"
"01303","BELLEY CEDEX","01034"
"01303","BELLEY CEDEX","01098"
"01306","BELLEY CEDEX","01034"
"01441","VIRIAT CEDEX","01451"
"01442","VIRIAT CEDEX","01451"
"01443","VIRIAT CEDEX","01301"
"01500","AMBERIEU EN BUGEY","01004"
"01501","AMBERIEU EN BUGEY CEDEX","01004"
"01502","AMBERIEU EN BUGEY CEDEX","01004"
"01503","AMBERIEU EN BUGEY CEDEX","01004"
"01503","AMBERIEU EN BUGEY CEDEX","01089"
"01504","AMBERIEU EN BUGEY CEDEX","01004"
"01504","AMBERIEU EN BUGEY CEDEX","01007"
"01505","AMBERIEU EN BUGEY CEDEX","01004"
"01506","AMBERIEU EN BUGEY CEDEX","01004"
"01601","TREVOUX CEDEX","01427"
"01602","TREVOUX CEDEX","01322"
"01602","TREVOUX CEDEX","01427"
"01603","TREVOUX CEDEX","01427"
"01604","TREVOUX CEDEX","01427"
"01606","TREVOUX CEDEX","01427"
"01631","CERN CEDEX","01354"
"01632","ST GENIS POUILLY CEDEX","01354"
"01633","ST GENIS POUILLY CEDEX","01354"
"01633","ST GENIS POUILLY CEDEX","01419"
"01700","BEYNOST","01043"
"01701","MIRIBEL CEDEX","01249"
"01702","MIRIBEL CEDEX","01249"
"01704","MIRIBEL CEDEX","01043"
"01705","MIRIBEL CEDEX","01249"
"01706","MIRIBEL CEDEX","01249"
"01707","MIRIBEL CEDEX","01275"
"01708","MIRIBEL CEDEX","01043"
"01708","MIRIBEL CEDEX","01376"
"02000","CHAMBRY","02157"
"02001","LAON CEDEX","02408"
"02002","LAON CEDEX","02408"
"02003","LAON CEDEX","02046"
"02003","LAON CEDEX","02157"
"02003","LAON CEDEX","02408"
"02004","LAON CEDEX","02408"
"02005","LAON CEDEX","02408"
"02006","LAON CEDEX","02408"
"02007","LAON CEDEX","02046"
"02007","LAON CEDEX","02128"
"02007","LAON CEDEX","02157"
"02007","LAON CEDEX","02408"
"02007","LAON CEDEX","02413"
"02007","LAON CEDEX","02755"
"02008","LAON CEDEX 9","02408"
"02010","LAON CEDEX 9","02408"
"02011","LAON CEDEX","02408"
"02012","LAON CEDEX","02408"
"02013","LAON CEDEX 9","02408"
"02015","LAON CEDEX","02231"
"02015","LAON CEDEX","02408"
"02016","LAON CEDEX 9","02408"
"02017","LAON CEDEX","02408"
"02018","LAON CEDEX 9","02408"
"02020","LAON CEDEX 9","02408"
"02025","LAON CEDEX 9","02408"
"02101","ST QUENTIN CEDEX","02387"
"02101","ST QUENTIN CEDEX","02691"
"02102","ST QUENTIN CEDEX","02691"
"02103","ST QUENTIN CEDEX","02691"
"02104","ST QUENTIN CEDEX","02691"
"02105","ST QUENTIN CEDEX","02691"
"02106","ST QUENTIN CEDEX","02691"
"02107","ST QUENTIN CEDEX","02525"
"02107","ST QUENTIN CEDEX","02691"
"02108","ST QUENTIN CEDEX","02691"
"02109","ST QUENTIN CEDEX","02691"
"02151","SISSONNE CEDEX","02720"
"02201","SOISSONS CEDEX","02722"
"02202","SOISSONS CEDEX","02722"
"02202","SOISSONS CEDEX","02805"
"02203","SOISSONS CEDEX","02722"
"02204","SOISSONS CEDEX","02089"
"02204","SOISSONS CEDEX","02245"
"02204","SOISSONS CEDEX","02722"
"02204","SOISSONS CEDEX","02805"
"02205","SOISSONS CEDEX","02243"
"02205","SOISSONS CEDEX","02722"
"02205","SOISSONS CEDEX","02805"
"02205","SOISSONS CEDEX","02828"
"02206","SOISSONS CEDEX","02243"
"02206","SOISSONS CEDEX","02722"
"02207","SOISSONS CEDEX","02003"
"02207","SOISSONS CEDEX","02564"
"02207","SOISSONS CEDEX","02722"
"02207","SOISSONS CEDEX","02805"
"02208","SOISSONS CEDEX","02064"
"02208","SOISSONS CEDEX","02722"
"02209","SOISSONS CEDEX","02722"
"02301","CHAUNY CEDEX","02173"
"02301","CHAUNY CEDEX","02820"
"02302","CHAUNY CEDEX","02173"
"02302","CHAUNY CEDEX","02820"
"02303","CHAUNY CEDEX","02173"
"02304","CHAUNY CEDEX","02173"
"02313","ST QUENTIN CEDEX","02691"
"02314","ST QUENTIN CEDEX","02691"
"02315","ST QUENTIN CEDEX","02691"
"02321","ST QUENTIN CEDEX","02340"
"02321","ST QUENTIN CEDEX","02691"
"02322","ST QUENTIN CEDEX","02659"
"02322","ST QUENTIN CEDEX","02691"
"02331","SOISSONS CEDEX","02722"
"02401","CHATEAU THIERRY CEDEX","02168"
"02402","CHATEAU THIERRY CEDEX","02114"
"02402","CHATEAU THIERRY CEDEX","02168"
"02403","CHATEAU THIERRY CEDEX","02347"
"02404","CHATEAU THIERRY CEDEX","02168"
"02405","CHATEAU THIERRY CEDEX","02168"
"02405","CHATEAU THIERRY CEDEX","02290"
"02406","CHATEAU THIERRY CEDEX","02105"
"02406","CHATEAU THIERRY CEDEX","02168"
"02406","CHATEAU THIERRY CEDEX","02292"
"02407","CHATEAU THIERRY CEDEX","02168"
"02407","CHATEAU THIERRY CEDEX","02187"
"02602","VILLERS COTTERETS CEDEX","02810"
"02603","VILLERS COTTERETS CEDEX","02810"
"02604","VILLERS COTTERETS CEDEX","02810"
"02930","LAON CEDEX 9","02046"
"02930","LAON CEDEX 9","02157"
"02930","LAON CEDEX 9","02408"
"03000","MOULINS","03190"
"03000","NEUVY","03200"
"03003","MOULINS CEDEX","03190"
"03004","MOULINS CEDEX","03190"
"03005","MOULINS CEDEX","03011"
"03005","MOULINS CEDEX","03190"
"03006","MOULINS CEDEX","03190"
"03007","MOULINS CEDEX","03190"
"03008","MOULINS CEDEX","03190"
"03011","MOULINS CEDEX","03190"
"03012","MOULINS CEDEX","03190"
"03016","MOULINS CEDEX","03190"
"03017","MOULINS CEDEX","03190"
"03017","MOULINS CEDEX","03200"
"03018","MOULINS CEDEX","03190"
"03101","MONTLUCON CEDEX","03185"
"03102","MONTLUCON CEDEX","03185"
"03103","MONTLUCON CEDEX","03185"
"03104","MONTLUCON CEDEX","03185"
"03105","MONTLUCON CEDEX","03185"
"03106","MONTLUCON CEDEX","03098"
"03106","MONTLUCON CEDEX","03185"
"03107","MONTLUCON CEDEX","03185"
"03107","MONTLUCON CEDEX","03211"
"03108","MONTLUCON CEDEX","03185"
"03109","MONTLUCON CEDEX","03098"
"03109","MONTLUCON CEDEX","03185"
"03110","CHARMEIL","03060"
"03201","VICHY CEDEX","03310"
"03202","VICHY CEDEX","03023"
"03202","VICHY CEDEX","03310"
"03203","VICHY CEDEX","03310"
"03204","VICHY CEDEX","03310"
"03205","VICHY CEDEX","03310"
"03206","VICHY CEDEX","03023"
"03206","VICHY CEDEX","03310"
